Name	Fl	Inventory	Index	BirthCountry	WorkCountry	Ethnicity	Woman
Constant de Rebecque, Henri	1807	Literature	6.27	Switzerland	France	French	0
Cooper, Anthony (Shaftesbury)	1711	Literature	3.99	Britain	Britain	English	0
Coppée, François	1882	Literature	2.21	France	France	French	0
Coprario, John	1615	Music	1.00	Britain	Britain	English	0
Cordier, Baude	1420	Music	1.02	France	France	French	0
Corelli, Arcangelo	1693	Music	12.19	Italy	Italy	Italian	0
Corneille, Pierre	1646	Literature	27.96	France	France	French	0
Cornelius, C. Peter	1864	Music	1.81	Germany	Germany	Germanic	0
Cornelius, Peter	1823	Art	2.41	Germany	Germany	Germanic	0
Corot, Jean	1836	Art	21.62	France	France	French	0
Correggio (Allegri)	1529	Art	25.89	Italy	Italy	Italian	0
Corsi, Jacopo	1601	Music	1.20	Italy	Italy	Italian	0
Cossa, Francesco del	1475	Art	5.35	Italy	Italy	Italian	0
Costelely, Guillaume	1570	Music	1.66	France	France	French	0
Coster, Charles de 	1867	Literature	2.69	Belgium	Belgium	Flemish	0
Couperin, François	1708	Music	12.86	France	France	French	0
Couperin, Louis	1661	Music	2.54	France	France	French	0
Courbet, Gustave	1859	Art	30.83	France	France	French	0
Couture, Thomas	1855	Art	3.04	France	France	French	0
Cowper, William	1771	Literature	4.15	Britain	Britain	English	0
Coypel, Charles 	1701	Art	1.45	France	France	French	0
Coysevox, Antoine	1680	Art	3.84	France	France	French	0
Cranach, Lucas	1512	Art	13.62	Germany	Germany	Germanic	0
Crashaw, Richard	1649	Literature	4.56	Britain	Britain	English	0
Cratinus of Athens	-444	Literature	1.09	Ancient Greece	Ancient Greece	Ancient Greek	0
Crebillon, Prosper de 	1714	Literature	1.70	France	France	French	0
Crécquillon, Thomas	1520	Music	2.24	Belgium	France	Flemish	0
Critias	-415	Philosophy	1.26	Ancient Greece	Ancient Greece	Ancient Greek	0
Crivelli, Carlo	1470	Art	2.57	Italy	Italy	Italian	0
Croce, Giovanni 	1597	Music	1.39	Italy	Italy	Italian	0
Crüger, Johannes	1638	Music	1.35	Germany	Germany	Germanic	0
